target,text
0,"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling..."
0,Preparing to have a heart attack #tweetdebate
0,Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate
0,McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current
0,McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate
0,#tweetdebate McCain starts awkwardly
0,McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current
0,@current McCain looks so tired!! wayyyy past his bedtime #current
0,"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate"
0,@andrewa121 He looks and sounds pretty tired.
0,McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate
0,McCain -2 gving credit to house republicans #tweetdebate
0,-1 McCain all over the place in his answer #tweetdebate
0,"Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate"
0,"if ur oldest candidate in history, why start with ""i'm not feeling great"" .. makes u thing ""you're not looking great either #tweetdebate"
0,Obama -1 for answering a different question #tweetdebate
0,McCain -1 improper analogy #tweetdebate
0,Obama -1 for not understanding economic regulation in America. #tweetdebate
0,"#tweetdebate -1 McCain ""we saw these problems coming"" I thought the economy was fundamentally sound"
0,how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate
0,"@current #current How can you say ""I hope so"" when you are asked the question of voting for something? You should know what yer view is!"
0,McCain -1 for wearing a tie that makes my eyes sore. #tweetdebate
0,McCain -1 for a total non-answer #tweetdebate
0,"Fundamentally, if McCain fundamentally uses ""fundamental"" one more time, I'm gonna go nuts. #tweetdebate"
0,"#tweetdebate and when, just when are the questions going to be answered instead of campaigning talk?"
0,"#tweetdebate -1 Mccain for not answering the question and saying ""the wall street""   between the eyeblinking +hesitation he looks weird"
0,McCain likes the bears in Montana joke too much #tweetdebate #current
0,mccain -1 answer the question!  #tweetdebate
0,-1 McCain flag waving pandering about American workers #tweetdebate
0,-2 McCain for stringing too many colloquialisms together and post-Reaganomics sensationalism #tweetdebate
0,McCain -3 for personal attack #tweetdebate
0,mccain -1 for bringing up stupid bear study AGAIN #tweetdebate
0,Earmark spending has tripled over the last 5 years. Hasn't it been a Republican Administration for the last 7? #obamashot #tweetdebate
0,"it's like you can see Obama trying to remember all the ""talking points"" and get his slogans out there #tweetdebate"
0,"-1 McCain #tweetdebate ""I didn't win Miss Congeniality"" but his VP did!"
0,#current #tweetdebate #mccainshot Stop interrupting Obama McCain was just about to say my friends
0,McCain -1 for failing to address the keystone tax cut issue #tweetdebate
0,McCain's laugh sounds like Bush's!!  SCARYY!!  #tweetdebate
0,#tweetdebate they won't even make eye contact. no one is responding directly
0,McCain cant even look at him..he must have gas! #tweetdebate
0,#tweetdebate -1 Obama for not answering earmark claim by McCain
0,McCain -1 for failing (again) to heed the moderator's instructions #tweetdebate
0,"Because I don't have an HDTV, McCain's moire-effect tie is giving me a skull-crushing headache #tweetdebate"
0,Mccain -1 for looking down and grinning #tweetdebate
0,#tweetdebate -3 McCain untasty comment about Obama not knowing about household income and wealth
0,-1 McCain for breaking the debate rules. #tweetdebate
0,Health care costs and social spending sounds like chump change compared with Corporate Welfare. #current #tweetdebate #debate08
0,-3 McCain for taling in circles. I don't understand what he is saying. #tweetdebate
0,"How long until McCain notes the amount of times Obama voted ""Present"" rather than Yea or Nay? #tweetdebate"
0,@current #current Obama is stuttering too much. Sounds like Porky Big
0,Financial rescue?  More like financial bailout!  #tweetdebate
0,-1 Obama for too many disclaimers re: potential economic recovery plan #tweetdebate
0,"@current Healthcare is a financial killer in our capitalist society, oh the irony.  #current"
0,-1 to Obama for leaving out conservation in the list of things that will free us from foreign oil #tweetdebate
0,"ok, obama, people are glazing.  #tweetdebate"
0,McCain -3 another personal attack  #tweetdebate
0,"-3 McCain Personal attack, it is hard to reach across the aisle when one is that far to the left. #tweetdebate"
0,-2 McCain for redundancy #tweetdebate
0,@current #current How in this day and age can you deny help to anyone who wants to produce alternative fuel -4 McCain
0,McCain -1 for false claims on Obama's voting record. #tweetdebate
0,"#tweetdebate defence contract inefficiency in contracts not the problem, a symptom, warring foreign policy is the REAL problem"
0,"Unfortunately, Obama didn't answer the question of what would he cut...#debate08 #tweetdebate"
0,-3 pts simply because McCain said he's against ethanol subsidies. boo...#tweetdebate
0,McCain -2 for false statement Obama does not have the most liberal record  #tweetdebate
0,McCain -2 for bringing federal prison into every question; is he thinking he's lucky not to be there himself? think Keating #tweetdebate
0,"#tweetdebate hahahah...""wildly liberal"" is just me opposing bush's wrongheaded policies"
0,-1 Obama not answering question about specific cuts #tweetdebate
0,Mccain -1 what? spending freeze ??? unclear at all #tweetdebate
0,Obama- I wanna keep spending money--his Early Childhood education is full of crap. #current #tweetdebate
0,"@current Damn, McCain just had to play the terrorist card. #current"
0,-1 McCain's off topic on counterpoint about spending cuts    #tweetdebate
0,"McCain really shouldn't think off the cuff, he'll paint himself into a corner very quickly  #tweetdebate #current"
0,McCain -1 for a stunt. Spending freeze is classical BS #tweetdebate
0,What the heck is the line graph at the bottom of CNN's screen? Looks like my pulse! #tweetdebate
0,Yes Obama I want to hear more about your superiority  #current #tweetdebate
0,McCain -2 Nuclear power is limited too dude! By 2050 we are out of Uranium! And your power plant is done in 2030 #tweetdebate
0,Roosevelt again. shit. he needs to throw down  #tweetdebate
0,lehrer constantly rephrasing questions - mccain rambles too much to cover his talking points. -1 mccain #tweetdebate
0,"-1 pt for Jim Leher for asking a stupid question: ""will the economic failure change the way you rule as president?"" uh...YEAH. #tweetdebate"
0,"#tweetdebate -Google for government-uh, did anyone vote against that?  Voice votes on slam dunk legislation isn't a record of accomplishment"
0,McCain -3 for total nonsense #tweetdebate
0,Obama - spending on healthcare--he couldn't admit that this spending must stop!   #current #tweetdebate
0,-1 McCain for not having a clue how many people can't afford a doctor at all #tweetdebate
0,McCain -1 for evading question on what to cut #tweetdebate
0,-1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate
0,"#tweetdebate McCain -2 broken record ""cut spending"". Big ""duh""..."
0,@usermac if McCain is a cool beverage it's a plastic tumbler of prune juice.  So unpleasant and cramp inducing.
0,@current #current Spending got out of control under REPUBLICAN presidency.
0,McCain -3 for another complete mischaracterization of reality (debt to china is utterly irrelevant) #tweetdebate
0,"Obama -3 for getting ""Jim"" err ""John's"" name wrong, and not addressing him as ""senator"" lack of respect #tweetdebate"
0,"""This orgy of spending....and you voted for his budgets"" #tweetdebate"
0,"#tweetdebate Sen O: YOU voted for Bush' budgets. Stand here and say that when it hasn't happened over last 8 hears, it's hard to swallow."
0,probably...eventually.... c'mon McCain grow a pair #tweetdebate
0,He was voted Miss Bitch  #tweetdebate
0,"I guess McCain only spends money on shoes, make up and houses  #tweetdebate"
0,#tweetdebate Over-used phrase of the night: Miss Congeniality. Wonder how that plays overseas?
0,"#tweetdebate soooo tired of hearing ""i have not been electd miss congeniality."
0,McCain -1 for reuse of Miss Congeniality reference #tweetdebate
0,@current #current If McCain would definitely make a very ugly Ms. Congeniality. Its a lousy cliche to keep throwing out though.
0,-2 McCain for saying Miss Congeniality twice so far. #tweetdebate
0,McCain -2 for saying 'were winning in iraq' i'm pretty sure that's not true #tweetdebate
0,McCain -2 for not answering the question #tweetdebate
0,"macain -1 on where he stands on the $700B bailout, he didn't tell us HOW #tweetdebate"
0,"@current It's either some ""epic battle against the terrorists"" or ""hey, look, it's broken ya'll"".  #current"
0,McCain -3 personal attack (what? without evidence huh? what hearing #tweetdebate
0,Wow whoever created McCain's talking points was really reaching... #tweetdebate #current #debate08
